type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0000,42000,raw,0.578466,0.233417,3.677269,0.058543,0.328141,0.269598,GUE,0.0,none
zeta,zeta_42_0000,42000,soft,0.576733,0.196525,3.522495,0.122676,0.388442,0.265766,GUE,0.080402,minimal
zeta,zeta_42_0000,42000,mid,0.576733,0.196525,3.522495,0.122676,0.388442,0.265766,GUE,0.080402,minimal
zeta,zeta_42_0000,42000,strong,0.57926,0.166582,3.32197,0.171231,0.456156,0.284925,GUE,0.145729,minimal
zeta,zeta_42_0001,42001,raw,0.569124,0.218566,3.585675,0.098681,0.367462,0.268781,GUE,0.0,none
zeta,zeta_42_0001,42001,soft,0.546686,0.162511,3.290546,0.204209,0.437814,0.233606,GUE,0.115578,minimal
zeta,zeta_42_0001,42001,mid,0.546686,0.162511,3.290546,0.204209,0.437814,0.233606,GUE,0.115578,minimal
zeta,zeta_42_0001,42001,strong,0.557186,0.133142,3.191575,0.234045,0.484422,0.250377,GUE,0.155779,minimal
zeta,zeta_42_0002,42002,raw,0.615376,0.215719,3.598787,0.062626,0.401382,0.338756,GUE,0.0,none
zeta,zeta_42_0002,42002,soft,0.606061,0.180451,3.378362,0.114196,0.45245,0.338254,GUE,0.090452,minimal
zeta,zeta_42_0002,42002,mid,0.606061,0.180451,3.378362,0.114196,0.45245,0.338254,GUE,0.090452,minimal
zeta,zeta_42_0002,42002,strong,0.612625,0.14232,3.246823,0.168153,0.49397,0.325817,GUE,0.160804,minimal
zeta,zeta_42_0003,42003,raw,0.587421,0.229724,3.616759,0.091018,0.361621,0.270603,GUE,0.0,none
zeta,zeta_42_0003,42003,soft,0.566518,0.196604,3.460206,0.162374,0.395101,0.232726,GUE,0.085427,minimal
zeta,zeta_42_0003,42003,mid,0.566518,0.196604,3.460206,0.162374,0.395101,0.232726,GUE,0.085427,minimal
zeta,zeta_42_0003,42003,strong,0.574172,0.165892,3.374957,0.140955,0.449937,0.308982,GUE,0.145729,minimal
zeta,zeta_42_0004,42004,raw,0.630262,0.220495,3.59309,0.08951,0.408354,0.318844,GUE,0.0,none
zeta,zeta_42_0004,42004,soft,0.621354,0.183223,3.376821,0.129648,0.450126,0.320477,GUE,0.105528,minimal
zeta,zeta_42_0004,42004,mid,0.621354,0.183223,3.376821,0.129648,0.450126,0.320477,GUE,0.105528,minimal
zeta,zeta_42_0004,42004,strong,0.624604,0.153859,3.236552,0.16809,0.478329,0.310239,GUE,0.180905,minimal
zeta,zeta_42_0005,42005,raw,0.632465,0.196583,3.501815,0.107915,0.448995,0.34108,GUE,0.0,none
zeta,zeta_42_0005,42005,soft,0.626707,0.157948,3.265148,0.170917,0.499812,0.328894,GUE,0.090452,minimal
zeta,zeta_42_0005,42005,mid,0.626707,0.157948,3.265148,0.170917,0.499812,0.328894,GUE,0.090452,minimal
zeta,zeta_42_0005,42005,strong,0.625916,0.124765,3.168383,0.234925,0.559736,0.324812,GUE,0.160804,minimal
zeta,zeta_42_0006,42006,raw,0.58612,0.230567,3.599477,0.077136,0.368405,0.291269,GUE,0.0,none
zeta,zeta_42_0006,42006,soft,0.564059,0.182503,3.380475,0.144221,0.414698,0.270477,GUE,0.125628,minimal
zeta,zeta_42_0006,42006,mid,0.564059,0.182503,3.380475,0.144221,0.414698,0.270477,GUE,0.125628,minimal
zeta,zeta_42_0006,42006,strong,0.570191,0.146298,3.2587,0.204334,0.458982,0.254648,GUE,0.180905,minimal
zeta,zeta_42_0007,42007,raw,0.615299,0.223044,3.633674,0.065955,0.371357,0.305402,GUE,0.0,none
zeta,zeta_42_0007,42007,soft,0.612194,0.18645,3.385343,0.103078,0.426508,0.32343,GUE,0.110553,minimal
zeta,zeta_42_0007,42007,mid,0.612194,0.18645,3.385343,0.103078,0.426508,0.32343,GUE,0.110553,minimal
zeta,zeta_42_0007,42007,strong,0.618077,0.153906,3.285867,0.143153,0.485427,0.342274,GUE,0.150754,minimal
zeta,zeta_42_0008,42008,raw,0.633018,0.224935,3.619354,0.092023,0.392148,0.300126,GUE,0.0,none
zeta,zeta_42_0008,42008,soft,0.622396,0.19132,3.429511,0.11005,0.451445,0.341394,GUE,0.100503,minimal
zeta,zeta_42_0008,42008,mid,0.622396,0.19132,3.429511,0.11005,0.451445,0.341394,GUE,0.100503,minimal
zeta,zeta_42_0008,42008,strong,0.628239,0.163099,3.325855,0.155528,0.497864,0.342337,GUE,0.145729,minimal
zeta,zeta_42_0009,42009,raw,0.638632,0.237737,3.652065,0.107224,0.39108,0.283857,GUE,0.0,none
zeta,zeta_42_0009,42009,soft,0.628089,0.206493,3.538011,0.107475,0.421231,0.313756,GUE,0.095477,minimal
zeta,zeta_42_0009,42009,mid,0.628089,0.206493,3.538011,0.107475,0.421231,0.313756,GUE,0.095477,minimal
zeta,zeta_42_0009,42009,strong,0.631275,0.153992,3.3473,0.184862,0.507098,0.322236,GUE,0.19598,minimal
zeta,zeta_42_0010,42010,raw,0.606614,0.234274,3.611286,0.056658,0.378015,0.321357,GUE,0.0,none
zeta,zeta_42_0010,42010,soft,0.592644,0.188935,3.358258,0.139761,0.428141,0.288379,GUE,0.115578,minimal
zeta,zeta_42_0010,42010,mid,0.592644,0.188935,3.358258,0.139761,0.428141,0.288379,GUE,0.115578,minimal
zeta,zeta_42_0010,42010,strong,0.601949,0.153398,3.268584,0.177073,0.510553,0.33348,GUE,0.170854,minimal
zeta,zeta_42_0011,42011,raw,0.571696,0.23724,3.710514,0.078266,0.315201,0.236935,GUE,0.0,none
zeta,zeta_42_0011,42011,soft,0.552322,0.200167,3.555124,0.17858,0.342274,0.163693,GUE,0.105528,minimal
zeta,zeta_42_0011,42011,mid,0.552322,0.200167,3.555124,0.17858,0.342274,0.163693,GUE,0.105528,minimal
zeta,zeta_42_0011,42011,strong,0.559288,0.166602,3.339372,0.229711,0.411558,0.181847,GUE,0.175879,minimal
zeta,zeta_42_0012,42012,raw,0.600246,0.245122,3.66858,0.060804,0.346985,0.286181,GUE,0.0,none
zeta,zeta_42_0012,42012,soft,0.590022,0.211619,3.527134,0.092023,0.369912,0.277889,GUE,0.120603,minimal
zeta,zeta_42_0012,42012,mid,0.590022,0.211619,3.527134,0.092023,0.369912,0.277889,GUE,0.120603,minimal
