type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0011,42011,raw,0.620494,0.22241,3.63399,0.081093,0.40201,0.320917,GUE,0.0,none
zeta,zeta_42_0011,42011,soft,0.611109,0.178796,3.42154,0.126319,0.46652,0.340201,GUE,0.105528,minimal
zeta,zeta_42_0011,42011,mid,0.611109,0.178796,3.42154,0.126319,0.46652,0.340201,GUE,0.105528,minimal
zeta,zeta_42_0011,42011,strong,0.617062,0.14885,3.299374,0.176382,0.511118,0.334736,GUE,0.150754,minimal
zeta,zeta_42_0012,42012,raw,0.625501,0.23681,3.627065,0.085867,0.370854,0.284987,GUE,0.0,none
zeta,zeta_42_0012,42012,soft,0.61671,0.20869,3.500877,0.07858,0.399812,0.321231,GUE,0.085427,minimal
zeta,zeta_42_0012,42012,mid,0.61671,0.20869,3.500877,0.07858,0.399812,0.321231,GUE,0.085427,minimal
zeta,zeta_42_0012,42012,strong,0.622768,0.175568,3.439266,0.130339,0.453894,0.323555,GUE,0.145729,minimal
zeta,zeta_42_0013,42013,raw,0.607656,0.205956,3.58429,0.064636,0.407538,0.342902,GUE,0.0,none
zeta,zeta_42_0013,42013,soft,0.596365,0.168789,3.390592,0.120603,0.455716,0.335113,GUE,0.100503,minimal
zeta,zeta_42_0013,42013,mid,0.596365,0.168789,3.390592,0.120603,0.455716,0.335113,GUE,0.100503,minimal
zeta,zeta_42_0013,42013,strong,0.601538,0.137477,3.203971,0.174686,0.515578,0.340892,GUE,0.165829,minimal
zeta,zeta_42_0014,42014,raw,0.619492,0.219648,3.554001,0.09397,0.430151,0.336181,GUE,0.0,none
zeta,zeta_42_0014,42014,soft,0.603138,0.184212,3.375375,0.119347,0.463693,0.344347,GUE,0.085427,minimal
zeta,zeta_42_0014,42014,mid,0.603138,0.184212,3.375375,0.119347,0.463693,0.344347,GUE,0.085427,minimal
zeta,zeta_42_0014,42014,strong,0.61246,0.152411,3.314467,0.179271,0.520603,0.341332,GUE,0.145729,minimal
zeta,zeta_42_0015,42015,raw,0.61173,0.222727,3.617505,0.058731,0.371043,0.312312,GUE,0.0,none
zeta,zeta_42_0015,42015,soft,0.610697,0.19247,3.47832,0.091457,0.426319,0.334862,GUE,0.070352,minimal
zeta,zeta_42_0015,42015,mid,0.610697,0.19247,3.47832,0.091457,0.426319,0.334862,GUE,0.070352,minimal
zeta,zeta_42_0015,42015,strong,0.61546,0.160817,3.379149,0.146106,0.472487,0.326382,GUE,0.130653,minimal
zeta,zeta_42_0016,42016,raw,0.622864,0.235001,3.682343,0.083982,0.372613,0.288631,GUE,0.0,none
zeta,zeta_42_0016,42016,soft,0.608984,0.202762,3.454499,0.104083,0.411872,0.307789,GUE,0.110553,minimal
zeta,zeta_42_0016,42016,mid,0.608984,0.202762,3.454499,0.104083,0.411872,0.307789,GUE,0.110553,minimal
zeta,zeta_42_0016,42016,strong,0.615111,0.171957,3.363664,0.145289,0.463631,0.318342,GUE,0.150754,minimal
zeta,zeta_42_0017,42017,raw,0.610959,0.209033,3.600747,0.072613,0.406156,0.333543,GUE,0.0,none
zeta,zeta_42_0017,42017,soft,0.606116,0.166828,3.348289,0.145352,0.483668,0.338317,GUE,0.110553,minimal
zeta,zeta_42_0017,42017,mid,0.606116,0.166828,3.348289,0.145352,0.483668,0.338317,GUE,0.110553,minimal
zeta,zeta_42_0017,42017,strong,0.610673,0.139864,3.181623,0.203455,0.524183,0.320729,GUE,0.175879,minimal
zeta,zeta_42_0018,42018,raw,0.614271,0.228301,3.629327,0.050691,0.382161,0.33147,GUE,0.0,none
zeta,zeta_42_0018,42018,soft,0.600939,0.198324,3.43693,0.088379,0.427387,0.339008,GUE,0.100503,minimal
zeta,zeta_42_0018,42018,mid,0.600939,0.198324,3.43693,0.088379,0.427387,0.339008,GUE,0.100503,minimal
zeta,zeta_42_0018,42018,strong,0.608334,0.156939,3.350653,0.131156,0.473304,0.342148,GUE,0.160804,minimal
zeta,zeta_42_0019,42019,raw,0.617887,0.228313,3.635729,0.083731,0.380088,0.296357,GUE,0.0,none
zeta,zeta_42_0019,42019,soft,0.606928,0.195938,3.446263,0.110992,0.420289,0.309296,GUE,0.115578,minimal
zeta,zeta_42_0019,42019,mid,0.606928,0.195938,3.446263,0.110992,0.420289,0.309296,GUE,0.115578,minimal
zeta,zeta_42_0019,42019,strong,0.614504,0.163908,3.340825,0.165075,0.487123,0.322048,GUE,0.155779,minimal
zeta,zeta_42_0020,42020,raw,0.611456,0.218058,3.647979,0.054711,0.392965,0.338254,GUE,0.0,none
zeta,zeta_42_0020,42020,soft,0.606303,0.181466,3.38601,0.109862,0.441457,0.331595,GUE,0.090452,minimal
zeta,zeta_42_0020,42020,mid,0.606303,0.181466,3.38601,0.109862,0.441457,0.331595,GUE,0.090452,minimal
zeta,zeta_42_0020,42020,strong,0.610518,0.138028,3.120182,0.180465,0.518342,0.337877,GUE,0.170854,minimal
zeta,zeta_42_0021,42021,raw,0.617933,0.221338,3.645794,0.06696,0.394786,0.327827,GUE,0.0,none
zeta,zeta_42_0021,42021,soft,0.603916,0.187915,3.447699,0.097111,0.426068,0.328957,GUE,0.085427,minimal
zeta,zeta_42_0021,42021,mid,0.603916,0.187915,3.447699,0.097111,0.426068,0.328957,GUE,0.085427,minimal
zeta,zeta_42_0021,42021,strong,0.61127,0.147841,3.262614,0.160364,0.478392,0.318028,GUE,0.175879,minimal
zeta,zeta_42_0022,42022,raw,0.624144,0.222194,3.619554,0.076445,0.394724,0.318279,GUE,0.0,none
zeta,zeta_42_0022,42022,soft,0.616055,0.192725,3.432535,0.119158,0.43593,0.316771,GUE,0.085427,minimal
zeta,zeta_42_0022,42022,mid,0.616055,0.192725,3.432535,0.119158,0.43593,0.316771,GUE,0.085427,minimal
zeta,zeta_42_0022,42022,strong,0.621282,0.151878,3.345624,0.182349,0.499812,0.317462,GUE,0.170854,minimal
zeta,zeta_42_0023,42023,raw,0.601983,0.225535,3.675494,0.04799,0.383857,0.335867,GUE,0.0,none
zeta,zeta_42_0023,42023,soft,0.587074,0.184157,3.397523,0.14353,0.426633,0.283103,GUE,0.120603,minimal
zeta,zeta_42_0023,42023,mid,0.587074,0.184157,3.397523,0.14353,0.426633,0.283103,GUE,0.120603,minimal
zeta,zeta_42_0023,42023,strong,0.594184,0.148823,3.255003,0.167023,0.482915,0.315892,GUE,0.160804,minimal
zeta,zeta_42_0024,42024,raw,0.618608,0.226628,3.62826,0.057663,0.383982,0.326319,GUE,0.0,none
zeta,zeta_42_0024,42024,soft,0.608803,0.194499,3.458691,0.111683,0.433606,0.321922,GUE,0.115578,minimal
zeta,zeta_42_0024,42024,mid,0.608803,0.194499,3.458691,0.111683,0.433606,0.321922,GUE,0.115578,minimal
zeta,zeta_42_0024,42024,strong,0.613225,0.16581,3.343464,0.147487,0.471231,0.323744,GUE,0.155779,minimal
zeta,zeta_42_0025,42025,raw,0.628163,0.227227,3.65423,0.077513,0.392776,0.315264,GUE,0.0,none
zeta,zeta_42_0025,42025,soft,0.619865,0.185677,3.363998,0.137814,0.448995,0.311181,GUE,0.110553,minimal
zeta,zeta_42_0025,42025,mid,0.619865,0.185677,3.363998,0.137814,0.448995,0.311181,GUE,0.110553,minimal
zeta,zeta_42_0025,42025,strong,0.623505,0.152475,3.246845,0.159171,0.479837,0.320666,GUE,0.160804,minimal
zeta,zeta_42_0026,42026,raw,0.606799,0.228848,3.611632,0.053392,0.384422,0.33103,GUE,0.0,none
zeta,zeta_42_0026,42026,soft,0.594299,0.189166,3.418212,0.116897,0.435427,0.31853,GUE,0.115578,minimal
zeta,zeta_42_0026,42026,mid,0.594299,0.189166,3.418212,0.116897,0.435427,0.31853,GUE,0.115578,minimal
zeta,zeta_42_0026,42026,strong,0.597449,0.145073,3.276668,0.178392,0.482475,0.304083,GUE,0.170854,minimal
zeta,zeta_42_0027,42027,raw,0.615221,0.21319,3.583072,0.077073,0.417211,0.340138,GUE,0.0,none
zeta,zeta_42_0027,42027,soft,0.605493,0.175638,3.314541,0.127324,0.466269,0.338945,GUE,0.090452,minimal
zeta,zeta_42_0027,42027,mid,0.605493,0.175638,3.314541,0.127324,0.466269,0.338945,GUE,0.090452,minimal
zeta,zeta_42_0027,42027,strong,0.609549,0.144393,3.256389,0.165327,0.488442,0.323116,GUE,0.150754,minimal
zeta,zeta_42_0028,42028,raw,0.601057,0.224707,3.644347,0.040829,0.374121,0.333291,GUE,0.0,none
zeta,zeta_42_0028,42028,soft,0.589045,0.188404,3.35933,0.115201,0.434422,0.319221,GUE,0.110553,minimal
zeta,zeta_42_0028,42028,mid,0.589045,0.188404,3.35933,0.115201,0.434422,0.319221,GUE,0.110553,minimal
zeta,zeta_42_0028,42028,strong,0.599014,0.142566,3.227675,0.180402,0.472676,0.292274,GUE,0.170854,minimal
zeta,zeta_42_0029,42029,raw,0.614182,0.218099,3.569159,0.063631,0.388505,0.324874,GUE,0.0,none
zeta,zeta_42_0029,42029,soft,0.60038,0.180212,3.337178,0.118907,0.42946,0.310553,GUE,0.110553,minimal
zeta,zeta_42_0029,42029,mid,0.60038,0.180212,3.337178,0.118907,0.42946,0.310553,GUE,0.110553,minimal
zeta,zeta_42_0029,42029,strong,0.604144,0.146023,3.255639,0.176696,0.465578,0.288882,GUE,0.20603,minimal
zeta,zeta_42_0030,42030,raw,0.616792,0.219579,3.583902,0.079899,0.408982,0.329083,GUE,0.0,none
zeta,zeta_42_0030,42030,soft,0.610163,0.182338,3.347636,0.125126,0.455276,0.330151,GUE,0.095477,minimal
zeta,zeta_42_0030,42030,mid,0.610163,0.182338,3.347636,0.125126,0.455276,0.330151,GUE,0.095477,minimal
zeta,zeta_42_0030,42030,strong,0.612123,0.160295,3.343038,0.156847,0.480653,0.323807,GUE,0.150754,minimal
