type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0000,42000,raw,0.594077,0.238184,3.664798,0.046294,0.341583,0.295289,GUE,0.0,none
zeta,zeta_42_0000,42000,soft,0.586883,0.199954,3.465847,0.105339,0.391834,0.286495,GUE,0.090452,minimal
zeta,zeta_42_0000,42000,mid,0.586883,0.199954,3.465847,0.105339,0.391834,0.286495,GUE,0.090452,minimal
zeta,zeta_42_0000,42000,strong,0.589596,0.169471,3.3578,0.146859,0.428141,0.281281,GUE,0.150754,minimal
zeta,zeta_42_0001,42001,raw,0.558502,0.240264,3.718726,0.096043,0.309422,0.213379,GUE,0.0,none
zeta,zeta_42_0001,42001,soft,0.553023,0.201492,3.482014,0.154774,0.363379,0.208606,GUE,0.075377,minimal
zeta,zeta_42_0001,42001,mid,0.553023,0.201492,3.482014,0.154774,0.363379,0.208606,GUE,0.075377,minimal
zeta,zeta_42_0001,42001,strong,0.555424,0.153478,3.286531,0.225503,0.443279,0.217776,GUE,0.19598,minimal
zeta,zeta_42_0002,42002,raw,0.587113,0.237217,3.710636,0.05201,0.357977,0.305967,GUE,0.0,none
zeta,zeta_42_0002,42002,soft,0.572187,0.20126,3.473353,0.131847,0.388631,0.256784,GUE,0.095477,minimal
zeta,zeta_42_0002,42002,mid,0.572187,0.20126,3.473353,0.131847,0.388631,0.256784,GUE,0.095477,minimal
zeta,zeta_42_0002,42002,strong,0.580761,0.167542,3.365765,0.18103,0.440138,0.259108,GUE,0.180905,minimal
zeta,zeta_42_0003,42003,raw,0.607062,0.229314,3.588283,0.050188,0.37054,0.320352,GUE,0.0,none
zeta,zeta_42_0003,42003,soft,0.597229,0.192448,3.349067,0.108229,0.41451,0.306281,GUE,0.090452,minimal
zeta,zeta_42_0003,42003,mid,0.597229,0.192448,3.349067,0.108229,0.41451,0.306281,GUE,0.090452,minimal
zeta,zeta_42_0003,42003,strong,0.598893,0.15922,3.318595,0.143405,0.480402,0.336997,GUE,0.155779,minimal
zeta,zeta_42_0004,42004,raw,0.621365,0.236458,3.652673,0.097425,0.361118,0.263693,GUE,0.0,none
zeta,zeta_42_0004,42004,soft,0.60712,0.203294,3.444005,0.117525,0.40559,0.288065,GUE,0.120603,minimal
zeta,zeta_42_0004,42004,mid,0.60712,0.203294,3.444005,0.117525,0.40559,0.288065,GUE,0.120603,minimal
