dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.2765,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,1.5908,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,1.2235,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,1.6039,1000.0,1248.6761,0.800848,0.981049,True
15,1034,LLL,1.5377,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,1.939,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,5.1215,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,5.4648,1000.0,1564.8487,0.639039,0.981726,True
20,1017,LLL,2.5163,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,3.3045,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,4.2984,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,4.2673,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,11.2635,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,11.2966,1000.0,1884.877,0.530539,0.982422,True
25,1017,LLL,9.9171,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,15.6026,1000.0,1884.877,0.530539,0.982422,True
25,1034,LLL,12.7973,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,14.6989,1000.0,1884.877,0.530539,0.982422,True
30,1000,LLL,28.6973,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,29.943,1000.0,2211.0257,0.452279,0.983085,True
30,1017,LLL,45.452,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,41.5263,1000.0,2211.0257,0.452279,0.983085,True
30,1034,LLL,15.7888,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,16.7078,1000.0,2211.0257,0.452279,0.983085,True
