dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.3228,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,11.0929,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,1.6437,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,33.3466,202356.7827,1248.6761,162.057067,1.397757,False
15,1034,LLL,2.1626,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,9.9521,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,5.9543,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,93.1924,216834.6547,1564.8487,138.565892,1.284685,False
20,1017,LLL,3.642,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,25.0749,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,5.5534,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,42.1021,1000.0,1564.8487,0.639039,0.981726,True
