dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,0.7899,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,5.0345,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,0.5547,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,0.0278,202356.7827,1248.6761,162.057067,1.397757,False
15,1034,LLL,0.9553,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,5.6715,1000.0,1248.6761,0.800848,0.981049,True
20,1034,LLL,3.5884,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,20.2756,1000.0,1564.8487,0.639039,0.981726,True
20,1000,LLL,3.2415,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,50.6604,216834.6547,1564.8487,138.565892,1.284685,False
20,1017,LLL,1.6494,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,17.9075,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,4.37,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,23.588,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,8.8178,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,138.1275,31857.7699,1884.877,16.901776,1.128305,False
25,1000,LLL,8.0703,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,154.6555,31857.7699,1884.877,16.901776,1.128305,False
25,1017,LLL,15.0464,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,137.2257,690003.0453,1884.877,366.073242,1.276004,False
25,1034,LLL,6.8108,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,0.0,inf,1884.877,inf,inf,False
25,1017,LLL,9.6556,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,143.9281,690003.0453,1884.877,366.073242,1.276004,False
25,1034,LLL,7.2998,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,128.3737,5586.8148,1884.877,2.964021,1.052409,False
30,1000,LLL,21.51,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,281.9756,72921.2589,2211.0257,32.980737,1.134191,False
30,1000,LLL,18.9479,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,425.5247,72921.2589,2211.0257,32.980737,1.134191,False
30,1017,LLL,38.9541,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,494.4975,54242.7184,2211.0257,24.53283,1.123058,False
30,1034,LLL,17.7254,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,0.0,inf,2211.0257,inf,inf,False
30,1017,LLL,56.3229,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,487.4879,54242.7184,2211.0257,24.53283,1.123058,False
30,1034,LLL,17.6173,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,351.9215,1850.0,2211.0257,0.836716,1.003452,True
